"","sgCtrl_g1_rep1","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Cnksr3",0,1,8,6,6,3,13,5,9,15,1,7,34,14,19,26,9,11,8,5,12,11,7,12
"Ulbp1",5,7,22,9,17,13,33,11,8,16,18,12,46,20,24,59,33,27,20,31,18,14,21,18
"Lrp11",3,9,10,7,9,3,13,9,5,12,9,5,23,5,12,31,16,10,8,12,10,7,10,8
"Pcmt1",17,43,41,28,52,44,45,12,25,44,37,27,106,47,81,141,75,66,30,46,42,24,38,42
"Nup43",0,2,4,0,2,4,4,0,3,4,3,3,15,4,6,16,4,6,7,7,5,4,5,4
"Lats1",7,25,30,24,33,38,69,13,25,24,22,14,93,35,54,112,42,53,19,34,23,14,20,39
"Katna1",18,47,48,16,46,34,57,20,22,32,46,39,112,42,68,154,68,60,41,42,35,40,35,47
"Gm20470",2,1,1,1,0,1,5,0,5,9,4,2,3,1,4,4,3,2,3,1,1,1,1,1
"Ginm1",9,15,26,7,23,21,38,9,14,22,16,15,70,12,43,62,33,38,25,20,18,17,17,28
"B430219N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ppil4",5,5,16,5,12,18,22,4,6,10,9,14,75,17,35,64,24,29,19,13,22,14,14,13
"Zc3h12d",3,2,4,0,3,1,5,2,3,1,2,3,7,3,2,5,1,0,7,1,1,0,1,4
"Tab2",30,53,68,54,60,46,51,14,32,72,43,30,155,63,92,162,91,94,39,53,52,43,37,74
"Gm48614",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm30906",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"Ust",0,1,1,1,1,4,3,1,0,2,1,2,6,2,3,3,2,8,1,1,1,2,2,2
"Gm48654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sash1",9,39,70,26,40,43,58,7,20,44,19,54,120,37,78,130,47,71,23,48,30,31,41,46
"Gm26674",0,0,3,1,0,1,1,1,2,0,0,2,8,0,4,2,2,0,1,2,2,0,1,2
"Gm48727",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm48728",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm48748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gm48749",0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Gm48757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm48759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Samd5",2,1,3,0,1,4,1,0,2,0,2,0,8,1,4,5,6,3,0,0,3,2,0,0
"Stxbp5",4,11,26,4,18,13,22,4,11,13,9,12,36,16,30,51,19,29,12,13,13,10,6,16
"Gm46210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm28905",1,1,1,1,1,0,5,0,0,3,1,1,4,3,3,4,2,2,3,3,1,1,0,1
"Gm48278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm48281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"Gm48279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930598N05Rik",0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Gm31904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm48324",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adgb",11,19,31,23,25,15,29,11,12,18,12,16,73,31,38,101,47,39,26,28,26,20,20,23
