"","sgNfe2l1","sgNfe2l2","doubleKO"
"Cfap77",0,0,0
"Ttf1",0,0,0
"Setx",0,0,0
"Ntng2",0,0,0
"Med27",0,0,0
"Rapgef1",0,0,0
"Trub2",0,0,0
"Slc27a4",0,0,0
"Urm1",0,0,0
"Odf2",0,0,0
"Gle1",0,0,0
"Sptan1",0,0,0
"Set",0,0,0
"Zdhhc12",0,0,0
"Tbc1d13",0,0,0
"Dolk",0,0,0
"Nup188",0,0,0
"Sh3glb2",0,0,0
"Crat",0,0,0
"Ptpa",0,0,0
"Ntmt1",0,0,0
"Asb6",0,0,0
"Ptges",0,0,0
"Tor1b",0,0,0
"Tor1a",0,0,0
"BC005624",0,0,0
"Fnbp1",0,0,0
"D330023K18Rik",0,0,0
"Gpr107",0,0,0
"Ass1",1,1,1
"Fubp3",0,0,0
"Exosc2",0,0,0
"Abl1",0,0,0
"Nup214",0,0,0
"Prrc2b",0,0,0
"Swi5",0,1,0
"Golga2",0,0,0
"Ciz1",0,0,0
"1110008P14Rik",0,0,0
"Lcn2",0,0,0
"Slc25a25",0,0,0
"Dpm2",0,0,0
"St6galnac4",0,0,0
"St6galnac6",0,0,0
"Ak1",0,0,0
"Eng",0,0,0
"Cdk9",0,0,0
"Tor2a",0,0,0
"Ptrh1",0,0,0
"Cfap157",0,0,0
"Stxbp1",0,0,0
"Fam129b",0,-1,0
"Ralgps1",0,0,0
"Angptl2",0,-1,0
"Zbtb34",0,0,0
"Zbtb43",0,0,0
"Mvb12b",0,0,0
"Pbx3",0,0,0
"Mapkap1",0,0,0
"Gapvd1",0,0,0
"Hspa5",0,0,0
"Rabepk",0,0,0
"Fbxw2",0,0,0
"Psmd5",0,0,0
"Traf1",-1,0,0
"Cntrl",0,0,0
"Rab14",0,0,0
"Gsn",0,-1,0
"Stom",0,0,0
"Ggta1",0,0,0
"Ttll11",1,0,0
"Ndufa8",0,0,0
"Rbm18",0,0,0
"Mrrf",0,0,0
"Ptgs1",0,0,0
"Pdcl",0,0,0
"Rc3h2",0,0,0
"Zbtb6",0,0,0
"Rabgap1",0,0,0
"Strbp",0,0,0
"Dennd1a",0,0,0
"Lhx2",0,0,0
"Gm13588",0,0,0
"Nek6",0,0,0
"Psmb7",0,1,0
"Nr6a1",0,0,0
"Olfml2a",0,0,0
"Rpl35",0,1,1
"Arpc5l",0,0,0
"Golga1",0,0,0
"Ppp6c",0,0,0
"Lrp1b",0,0,0
"Kynu",0,0,0
"Arhgap15",0,0,0
"Gtdc1",0,0,0
"Zeb2",0,0,0
"Zeb2os",0,0,0
"Gm13481",0,0,0
"Acvr2a",0,0,0
"Orc4",0,0,0
"Mbd5",0,0,0
"Epc2",0,0,0
"Kif5c",0,0,0
"Mmadhc",0,0,0
"Rnd3",0,0,0
"Gm13493",0,0,0
"Rbm43",0,0,0
"Nmi",0,0,0
"Tnfaip6",0,0,0
"Rif1",0,0,0
"Arl5a",0,0,0
"Cacnb4",0,0,0
"Stam2",0,0,0
"Fmnl2",0,0,0
"Prpf40a",0,0,0
"Arl6ip6",0,0,0
"Galnt13",0,0,0
"Nr4a2",0,0,0
"Gpd2",0,0,0
"Cytip",0,1,0
"Gm13546",0,1,1
"Acvr1",0,0,0
"Upp2",0,-1,0
"Ccdc148",0,0,0
"Pkp4",0,0,0
"Tanc1",0,0,0
"Wdsub1",0,0,0
"Baz2b",0,0,0
"March7",0,0,0
"Cd302",0,0,0
"Ly75",0,0,0
"Gm13571",1,1,0
"Gm13580",0,0,0
"Rbms1",0,0,0
"Tank",0,0,0
"Psmd14",0,0,0
"Fap",0,0,0
"Ifih1",0,0,0
"Gca",0,0,0
"Kcnh7",0,0,0
"Galnt3",0,0,0
"Ttc21b",0,0,0
"Xirp2",0,0,0
"B3galt1",0,0,0
"Stk39",0,0,0
"Cers6",0,0,0
"Nostrin",0,0,0
"Spc25",0,0,0
"Dhrs9",0,0,0
"Bbs5",0,0,0
"Ppig",0,0,0
"Gm13622",0,0,0
"Ccdc173",0,0,0
"Phospho2",0,0,0
"Ssb",0,0,0
"Mettl5",0,0,0
"Ubr3",0,0,0
"Gorasp2",0,0,0
"Tlk1",0,0,0
"Dcaf17",0,0,0
"Dync1i2",0,0,0
"Slc25a12",0,0,0
"Hat1",0,0,0
"Metap1d",0,0,0
"Itga6",0,0,0
"Pdk1",0,0,0
"Rapgef4",0,0,0
"Map3k20",0,0,0
"Sp3",0,0,0
"Sp3os",0,0,0
"Ola1",0,0,0
"Cir1",0,0,0
"Scrn3",0,0,0
"Wipf1",0,0,0
"Atf2",0,0,0
"Atp5g3",0,0,0
"4930441J16Rik",0,0,0
"Lnpk",0,0,0
"Mrpl23-ps1",0,0,0
"Mtx2",0,0,0
"2600014E21Rik",0,0,0
"Hnrnpa3",0,0,0
"Nfe2l2",0,0,0
"Agps",0,0,0
"Pde11a",0,0,0
"Rbm45",0,0,0
"Prkra",0,0,0
"Plekha3",0,0,0
"Ttn",0,0,0
"Sestd1",0,0,0
"Cwc22",0,0,0
"Gm14461",0,0,0
"Ube2e3",0,0,0
"Itga4",0,0,0
"Ssfa2",0,0,0
"Dnajc10",0,0,0
"Nckap1",0,0,0
"Gm13680",0,0,0
"Zc3h15",0,0,0
"Itgav",0,0,0
"Gm13684",0,0,0
"Calcrl",0,0,0
"Tfpi",0,0,0
"Ctnnd1",0,0,0
"Med19",0,0,0
"Zdhhc5",0,0,0
"Clp1",0,1,0
"Ube2l6",0,1,0
"Timm10",0,0,0
"Slc43a3",0,0,0
"Prg2",0,-1,0
"Ssrp1",0,0,0
"Olfr1033",0,0,0
"Ptprj",0,0,0
"Nup160",0,0,0
"Fnbp4",0,0,0
"Mtch2",0,0,0
"Ndufs3",0,0,0
"Kbtbd4",0,0,0
"Ptpmt1",0,0,0
"Celf1",0,0,0
"Psmc3",0,0,0
"Spi1",0,0,0
"Madd",0,0,0
"Nr1h3",0,0,0
"Acp2",0,0,0
"Ddb2",0,0,0
"A330069E16Rik",0,0,0
"Arfgap2",0,0,0
"1110051M20Rik",0,0,0
"Lrp4",0,0,0
"Ckap5",0,0,0
"Arhgap1",0,0,0
"Atg13",0,0,0
"Ambra1",0,0,0
"Dgkz",0,0,0
"Creb3l1",0,0,0
"Phf21a",0,0,0
"Pex16",0,0,0
"Prdm11",0,0,0
"Cd82",0,0,0
"Ext2",0,0,0
"Gm13889",0,0,0
"Alkbh3",0,0,0
"Hsd17b12",0,0,0
"Ttc17",0,0,0
"2810002D19Rik",0,0,0
"Api5",0,0,0
"Lrrc4c",0,0,0
"Gm10801",0,0,0
"B230118H07Rik",0,0,0
"Traf6",0,0,0
"Commd9",0,0,0
"Ldlrad3",0,0,0
"Trim44",0,0,0
"Slc1a2",0,0,0
"Cd44",0,0,0
"Pdhx",0,0,0
"Apip",0,1,0
"Cat",0,0,0
"Abtb2",0,0,0
"Nat10",0,0,0
"Caprin1",0,0,0
"Lmo2",0,0,0
"Fbxo3",0,0,0
"Cd59a",0,0,0
"Hipk3",0,0,0
"Cstf3",0,0,0
"Tcp11l1",0,0,0
"Qser1",0,0,0
"Ccdc73",0,0,0
"Eif3m",0,0,0
"Rcn1",0,-1,0
"Elp4",0,0,0
"Immp1l",1,0,0
"Dnajc24",0,0,0
"Dcdc5",0,0,0
"Arl14ep",0,1,1
"Mettl15",0,0,0
"Lin7c",0,0,0
"Ccdc34",0,0,0
"Nop10",0,0,0
"Gm21985",0,0,0
"Emc4",0,0,0
"Katnbl1",0,0,0
"Emc7",0,0,0
"Aven",0,0,0
"Ryr3",0,0,0
"Fmn1",0,0,0
"Arhgap11a",0,0,0
"Aqr",0,0,0
"Dph6",0,0,0
"D330050G23Rik",0,0,0
"Spred1",0,0,0
"Fam98b",0,0,0
"Rasgrp1",0,0,0
"Gm13986",0,0,0
"Thbs1",-1,0,0
"Gpr176",0,0,0
"Eif2ak4",0,0,0
"Srp14",0,0,0
"Bub1b",0,0,0
"Plcb2",0,0,0
"Inafm2",0,0,0
"Ivd",0,0,0
"Ccdc32",0,0,0
"Rad51",0,0,0
"Rmdn3",0,0,0
"Dnajc17",0,0,0
"Spint1",0,0,0
"Vps18",0,0,0
"Ino80",0,0,0
"Chp1",0,0,0
"1700020I14Rik",0,0,0
"Oip5",0,0,0
"Nusap1",0,0,0
"Ndufaf1",0,0,0
"Rtf1",0,0,0
"Mga",0,0,0
"Mapkbp1",0,0,0
